"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Salt Lake County","UT","Salt Lake City","49","035",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1700,1712.5,1795,1797.5,1802.5,1895,1930,1995,1899.5,1862.5,1837,1800,1900,1912.5,1937.5,1925,1995,1995,1995,1947.5,1995,1995,2000,2000,2095,1995
"Travis County","TX","Austin-Round Rock","48","453",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3997.5,3750,3550,3500,3500,3550,3597.5,3547.5,3395,3500,4097.5,4000,3990,3800,3945
"Honolulu County","HI","Urban Honolulu","15","003",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3450,3250,3425,3450,3200,3400,3150,3100,3100,2900,2800,2800,2742.5,2550,2700,3075,3000,3212.5,3300,3200,2975,3000,3250,2922,3050,3000,2900,2995,2800,2500,2600,2900,2850,2550,2677,3000,2880,3000,2700,2700,2650,2682,2675,2675,2800,2800,2700,2664,2550,2697.5,2600,2597.5,2547.5,2500,2600,2650,2700,2667,2550,2500,2500,2500,2500,2600,2600,2682.5
"Milwaukee County","WI","Milwaukee-Waukesha-West Allis","55","079",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,900,985,1125,1200,1112.5,1030,1025,1050,950,997.5,1025,950,962.5,1050,1012.5,1097.5,1085,1037.5,990,990,1000,1050,1050,1067.5
"Fulton County","GA","Atlanta-Sandy Springs-Roswell","13","121",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2725,2700,2750,2875,3200,3145,2800,2950,2750,2800,2695,2750,2697.5,2750,2800,2695,2800,2825,2800,2750,2700,2830,2695,2695
"Mecklenburg County","NC","Charlotte-Concord-Gastonia","37","119",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2100,2347,2300,2199.5,2262.5,2100,2100,2050,2095,2072.5,2107.5,2195,2097.5,2172.5,2097.5,2195,2100,2195,2200,2225,2200,2195,2200
"Erie County","NY","Buffalo-Cheektowaga-Niagara Falls","36","029",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,750,772.5,750,750,812.5,850,800,750,780,800,800,800,775,800,900,850,800,895,850,900,895,872.5,897.5,900,850,950,950,995,950,1000,975,950,900,900,900,900,925,950,950,990,990,1000,962.5,990,950,950,950,950,975,1000,1000,1050,1050,1050,1000,1000,975,950,950,950
"Hartford County","CT","Hartford-West Hartford-East Hartford","09","003",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1262.5,1200,1200,1200,1200,1200,1185,1100,1100,1200,1100,1200,1200,1300,1300,1200,1250,1275,1295,1295,1300,1350,1350,1350,1350,1385,1350,1300,1275,1300,1300,1300,1250,1300,1300,1300,1300,1300,1300,1300
"Duval County","FL","Jacksonville","12","031",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1600,1650,1650,1685,1595,1595,1750,1845,1795,1672.5,1650,1550,1650,1683,1650,1547.5,1645,1625,1625,1550,1650,1697.5,1675,1792.5,1700,1675,1685,1600,1587.5,1635,1625,1650,1772.5,1837.5,1900,1774.5,1900,1845,1900,1722.5,1722,1750,1672.5,1650,1650,1825,1650,1800,1847.5,1995,1925,1995,1900,1995,1995,1972.5,1995,1650,1650,1675,1650,1857.5,1750,1700,1793,1650,1650,1500,1625
"New Haven County","CT","New Haven-Milford","09","009",38,975,885,950,950,962.5,1000,1100,1050,1025,985,975,975,950,975,1050,1012.5,985,1000,1080,1100,1100,1100,1025,1012.5,1037.5,1012.5,1000,1025,1112.5,1100,1100,1100,1050,1100,1100,1037.5,1000,1072.5,1050,1050,1050,1075,1100,1050,1070,1050,1012.5,1057.5,1050,1050,1100,1025,1100,1125,1100,1065,1085,1050,1100,1150,1150,1150,1112.5,1100,1100,1112.5,1125,1100,1100,1100,1100,1150,1100,1150,1200,1100,1150,1100,1200,1100,1100,1100,1125,1150,1200,1250,1200,1250,1250,1250,1262.5,1250,1250,1245,1200,1200,1300,1300,1300,1350,1395,1397,1399,1287.5,1200,1250,1300,1262.5
