"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Ramsey County","MN","Minneapolis-St. Paul-Bloomington","27","123",111,,,,,,,,,,,,,,,,,1395,1350,1397,1275,1295,1250,1221.5,1275,1295,1300,1296,1347.5,1395,1300,1495,1400,1225,1250,1250,1299.5,1350,1300,1375,1400,1400,1290,1200,1285,1350,1400,1400,1395,1400,1400,1400,1495,1447.5,1447,1465,1450,1400,1385,1362.5,1472.5,1425,1462.5,1645,1647.5,1500,1547,1550,1522.5,1387,1400,1445,1325,1495,1455,1522.5,1549,1475,1695,1525,1495,1465,1475,1500,1499,1499.5,1599,1550,1685,1585,1550,1600,1599,1600,1745,1770,1770,1800,1700,1797.5,1800,1800,1800,1675,1650,1655,1700,1750,1795
"Chester County","PA","Philadelphia-Camden-Wilmington","42","029",112,,,,,,,,,,,,2500,2300,2325,2400,2500,2400,2300,2250,2250,2050,2200,2300,2400,2400,2375,2250,2350,2300,2350,2400,2300,2375,2200,2200,2200,2250,2395,2250,2392.5,2390,2400,2250,2250,2100,2000,2250,2200,2200,2200,2200,2395,2422.5,2500,2472.5,2497.5,2395,2395,2200,2195,2095,2250,2250,2225,2200,2300,2300,2275,2270,2250,2300,2275,2200,2200,2150,2200,2250,2500,2522.5,2550,2500,2397.5,2500,2275,2300,2250,2372.5,2300,2495,2500,2495,2475,2395,2400,2500,2500,2500,2500,2500,2500,2400,2400,2495,2325,2300,2400,2325,2300
"Sedgwick County","KS","Wichita","20","173",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1150,1000,1150,1150,1150,1100,1100,1100,1250,1175,1175,1195,1200,1200,1195,1250,1250,1250,1275,1200,1150,1300,1195,1150,1195,1200,1150,1100,1100,1095
"Plymouth County","MA","Boston-Cambridge-Newton","25","023",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2475,2700,2350,2600,2550,2450,2325,2200,2487.5,2450,2400,2500,2500,2900,2900,2725,2800,2550,2375,2425,2400,2500,2375
"Volusia County","FL","Deltona-Daytona Beach-Ormond Beach","12","127",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1395,1375,1300,1395,1400,1400,1300,1300,1300,1395,1400,1400,1425,1300,1275,1350,1375,1397.5,1395,1350,1317,1300,1345,1325,1300,1400,1362.5,1375,1350,1350,1400,1375,1472.5,1412.5,1450,1395,1475,1495,1495,1450,1437,1400,1402.5,1450,1497.5,1550,1500,1499,1400,1497,1500,1400,1400,1462.5,1450,1597.5,1650,1550,1559,1595,1600,1650,1580,1625,1625,1700,1675,1600,1800,1825,1650,1781,1760.5,1750,1722.5,1672,1700,1600,1723,1715.5
"Guilford County","NC","Greensboro-High Point","37","081",116,,,,,,,,,,,,,,,,,,,,,,,,,1597,1550,1597.5,1600,1797.5,1800,1524.5,1499,1399,1350,1297,1295,1295,1325,1297,1200,1195,1325,1350,1325,1325,1372.5,1275,1200,1275,1295,1275,1350,1325,1400,1400,1400,1395,1375,1350,1300,1350,1375,1395,1450,1495,1475,1497.5,1497.5,1450,1425,1475,1385,1495,1500,1485,1595,1500,1495,1525,1525,1497.5,1495,1410,1462.5,1395,1547.5,1550,1595,1595,1600,1585,1550,1550,1550,1545,1495,1500,1500,1497.5,1550,1549,1600,1575,1595,1595,1595,1595,1565
"Sonoma County","CA","Santa Rosa","06","097",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2750,2950,2850,2925,2900,2950,3000,3200,3200,3100,3100,3000,3000,3450,3500,3600,3500,3500,3500,3500,3500,3500,3490,3300,3350,3200,3300,3300
"Pasco County","FL","Tampa-St. Petersburg-Clearwater","12","101",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1500,1500,1500,1525,1545,1565,1535.5,1600,1645,1600,1600,1650,1625,1700,1675,1822.5,1799,1700,1600,1625,1600,1600,1650,1620,1648
"Hampden County","MA","Springfield","25","013",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.5,1400,1500,1400,1400,1450,1650,1550,1400,1350,1400,1450,1450,1450,1450,1550,1550,1550,1672.5,1600,1647.5,1599,1500,1525,1700
"Montgomery County","TX","Houston-The Woodlands-Sugar Land","48","339",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,1862.5,1850,1950,1900,1900,1900,1900,1839.5,1799.5,1850,1895,1892.5,2000,2000,2100,1995,1957.5,1915,1815,1850,1849,1780,1805,1850
"Greenville County","SC","Greenville-Anderson-Mauldin","45","045",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1650,1600,1695,1650,1697.5,1750,1695,1685,1650,1750,1722.5,1695,1650,1600,1595,1672.5,1672.5,1600,1595,1700,1650,1750,1712.5
"Tulare County","CA","Visalia-Porterville","06","107",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1595,1550,1450,1495,1500,1525,1595,1550,1572.5,1500,1495,1395,1495,1495,1650,1595,1595,1595
"Lucas County","OH","Toledo","39","095",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,737.5,700,750,750,830,750,750,800,775,750,725,737.5,762.5,700,769,850,885,850,875,900,807.5,850,850,850,825,787.5
